
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
06 Feb 2022 13:35:59.102    06 Feb 2022 13:41:57.995      358.89224246    
07 Feb 2022 01:29:37.456    07 Feb 2022 01:35:59.717      382.26033733    
07 Feb 2022 13:29:11.978    07 Feb 2022 13:35:27.197      375.21896126    
08 Feb 2022 01:22:57.938    08 Feb 2022 01:29:21.038      383.09976807    
08 Feb 2022 13:22:28.286    08 Feb 2022 13:28:51.997      383.71115110    
09 Feb 2022 01:16:21.409    09 Feb 2022 01:22:38.084      376.67537058    
09 Feb 2022 13:15:47.775    09 Feb 2022 13:22:12.664      384.88864704    
10 Feb 2022 01:09:48.102    10 Feb 2022 01:15:50.647      362.54455744    
10 Feb 2022 13:09:10.435    10 Feb 2022 13:15:29.233      378.79882422    
11 Feb 2022 01:03:18.551    11 Feb 2022 01:08:58.212      339.66091352    
11 Feb 2022 13:02:36.479    11 Feb 2022 13:08:41.513      365.03416750    
12 Feb 2022 00:56:53.806    12 Feb 2022 01:01:59.748      305.94196294    
12 Feb 2022 12:56:06.418    12 Feb 2022 13:01:49.018      342.60034198    
13 Feb 2022 00:50:36.087    13 Feb 2022 00:54:53.060      256.97364325    
13 Feb 2022 12:49:41.255    13 Feb 2022 12:54:50.768      309.51391663    
14 Feb 2022 00:44:31.561    14 Feb 2022 00:47:32.000      180.43908837    
14 Feb 2022 12:43:23.085    14 Feb 2022 12:47:44.696      261.61076197    
15 Feb 2022 02:12:15.512    15 Feb 2022 02:14:55.259      159.74634265    
15 Feb 2022 12:37:17.558    15 Feb 2022 12:40:25.177      187.61888120    
16 Feb 2022 02:04:50.950    16 Feb 2022 02:08:53.690      242.74005865    
16 Feb 2022 14:04:48.253    16 Feb 2022 14:07:59.762      191.50891680    
17 Feb 2022 01:57:41.422    17 Feb 2022 02:02:35.640      294.21822850    
17 Feb 2022 13:57:26.292    17 Feb 2022 14:01:52.559      266.26697289    
18 Feb 2022 01:50:39.335    18 Feb 2022 01:56:08.727      329.39220350    
18 Feb 2022 13:50:16.875    18 Feb 2022 13:55:31.729      314.85394123    
19 Feb 2022 01:43:42.222    19 Feb 2022 01:49:35.444      353.22168914    
19 Feb 2022 13:43:14.395    19 Feb 2022 13:49:02.895      348.50036310    
